Symbol,Name,Last,"Prev High","Prev Low","1M High","1M Low",Volume,"Prev Vol","1M Avg Vol","Earnings ttm","Book Value","Div Yield"
QCOM,"Qualcomm Inc",117.68,119.25,117.2,123.93,108.3,5826700,5687800,8618613,2.66,2.93,2.22%
QRVO,"Qorvo Inc",129.01,132.62,128.14,135.89,112.03,1346800,1112200,1450914,5.88,38.09,0.00%
R,"Ryder System",42.24,42.4,41.04,45.45,39.24,681200,285700,538100,0.13,40.12,5.45%
RCL,"Royal Caribbean Cruises Ltd",64.73,66.23,63.51,74.44,58.27,7976200,4445000,6955754,-1.92,42.81,0.00%
RE,"Everest Re Group",197.54,201.95,197.31,222.99,194.54,473600,185600,260141,12.69,184.58,3.10%
REG,"Regency Centers Corp",38.02,38.64,37,42.36,35.99,1268900,785700,1554755,0.54,36.53,6.30%
REGN,"Regeneron Pharmaceuticals",559.78,576,567.92,621.61,540,2156400,501900,836927,24.58,85.13,0.00%
RF,"Regions Financial Corp",11.53,11.57,11.19,12.32,10.6,9506899,7784700,7629782,0.71,18.37,5.45%
RHI,"Robert Half International Inc",52.94,53.5,52.35,55.32,50.71,1040900,483100,784523,3.19,10.09,2.59%
RJF,"Raymond James Financial",72.76,72.96,71.78,78.87,67.66,725100,564500,762732,6.32,51.19,2.05%
RL,"Ralph Lauren Corp",67.97,70.06,67.3,82.83,67.11,1787000,1249800,1415264,2.91,34.96,0.00%
RMD,"Resmed Inc",171.43,174.04,171.91,184.29,165.72,682300,340800,529050,4.76,17.26,0.90%
ROK,"Rockwell Automation Inc",220.68,222.64,218.69,238.34,206.57,608400,392500,542932,7.82,9.39,1.84%
ROL,"Rollins Inc",54.19,55,54.48,57.16,51.58,1384100,659500,1124182,0.74,2.63,0.59%
ROP,"Roper Industries",395.11,404.29,398.2,445.85,380.07,669300,357500,530082,12.67,94.63,0.51%
ROST,"Ross Stores Inc",93.32,92.14,90.2,97.85,85.12,2038000,1711700,1992964,1.89,8.05,0.00%
RSG,"Republic Services",93.35,94.96,93.78,98.11,91.13,1302800,973400,1188527,3.4,25.86,1.72%
RTX,"Raytheon Technologies Corp",57.54,58.79,57.49,64.01,56.34,7700600,6415100,8464109,6.33,45.1,3.30%
SBAC,"SBA Communications",318.48,314.88,309.62,328.37,294.35,627800,403600,556891,-0.16,-38.46,0.59%
SBUX,"Starbucks Corp",85.92,86.25,84.63,89.43,81.75,10119500,4064900,7619905,1.35,-7.38,1.93%
SCHW,"The Charles Schwab Corp",36.23,36.26,35.49,36.89,33.79,7212900,7150200,8252769,2.51,23.94,2.01%
SEE,"Sealed Air Corp",38.81,37.99,37.24,40.93,36.27,2220300,1064400,1248782,2.91,-0.45,1.69%
SGEN,"Seattle Genetics Inc",195.69,192.3,187,198,143.61,1488000,1245400,1207396,-1.94,10.43,0.00%
SHW,"Sherwin-Williams Company",696.74,715.34,705.63,725.91,661.08,804300,290400,486291,22.1,42.5,0.76%
SIRI,"Sirius XM Holdings",5.36,5.32,5.19,5.99,4.95,28066701,17845400,30084514,0.22,-0.15,1.01%
SIVB,"Svb Financial Group",240.62,238.83,234.21,267.81,221.55,311500,311400,351073,17.18,144.99,0.00%
SJM,"J.M. Smucker Company",115.52,113.71,112.34,121.82,108.1,1113900,389500,835595,9.55,73.16,3.19%
SLB,"Schlumberger N.V.",15.56,16.4,15.47,19.68,15.42,15522801,15869301,13414450,1.12,8.97,3.21%
